ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.036752104,215.9971166,35971.02511,10.03050816,330.8589265,558.108549,14.33780438,81.76977525,2.934137001,0
9.130795899,200.0323483,28273.60324,7.497526377,333.0735457,453.8735707,12.86051392,64.17849389,3.025707369,0
7.277143967,194.880861,18270.10506,6.121931342,344.8797537,402.6645821,15.4597516,76.98723151,4.931353522,0
5.499489286,230.3087747,13902.96865,9.619574961,352.0843328,442.1670062,14.74078711,66.6224851,5.846826958,0
7.036752104,214.7378307,12666.00532,7.09269132,302.4917681,319.4230515,15.43383428,92.69393564,5.00587853,0
7.036752104,209.7660217,27382.76933,7.432312246,323.9556317,301.2028853,13.97073238,62.73859411,4.10343896,0
7.036752104,207.3910967,25110.03763,6.32979107,345.5926345,420.2191036,22.34641467,92.32776021,2.739234987,0
7.036752104,193.1676112,20894.40049,7.331568424,359.4265371,417.4247663,16.78714533,38.10700463,3.818403943,0
7.036752104,215.9665791,21852.43794,7.457514884,283.7558239,364.7010954,11.38320988,76.53880284,5.076362464,1
8.592417714,228.6760357,33013.47977,8.17235627,333.0735457,328.5584399,17.12815459,66.6224851,3.701287942,1
4.959852811,215.8548693,9887.830755,6.954230562,379.5047315,527.479694,14.32663819,52.38884926,3.455044818,1
8.858401531,254.6175187,9624.300462,7.954015627,348.4081949,344.3033625,7.935467758,78.10854982,5.525726338,0
7.036752104,286.2017633,46931.88429,7.44002394,262.526456,557.4218785,14.47165033,74.04385963,4.120931424,1
6.990452677,225.9234458,17679.3511,7.2488667,377.8680395,527.2058184,13.78726396,87.83904965,5.184441995,1
6.782868548,196.1825585,25366.7979,7.200358355,312.4265913,435.094574,12.11847464,76.34799427,5.468590847,0
4.999413811,190.2870501,24323.8659,7.230164127,324.8930378,405.330482,8.236557503,99.42738492,4.460683932,0
8.397248096,199.4958113,16772.22625,8.117217578,343.4037644,402.4649056,17.23604716,75.8535486,2.835794284,0
10.25281623,218.2797001,18158.84212,8.657341897,349.5295679,336.1988372,19.44259882,82.85827184,4.559836219,1
7.833361001,249.3400531,13394.73161,8.34166977,393.1378719,443.6291232,10.98334419,76.64573393,4.270973138,1
5.467401255,197.0289262,12883.16353,9.264883097,347.4212659,355.1757122,12.76254632,67.15953241,3.717822718,0
4.328282516,192.166324,30592.54883,7.42589408,327.3033652,543.7160286,11.18693881,72.5664004,3.708525863,0
7.436782609,208.094004,28544.61629,6.500052537,339.0238982,522.79373,17.11527603,65.31127723,3.727663719,0
6.975392341,205.9402462,22685.68444,5.927759233,304.0490742,441.7651579,13.51805212,77.97939998,4.931460168,0
6.730427772,183.9152962,9258.767076,8.005172947,345.0719544,320.6678654,12.06680799,56.43748499,3.961942035,1
9.221955642,151.4548307,26502.59577,8.097193741,294.1927545,541.6014377,13.95175343,39.57240683,4.294251987,1
10.94747264,146.8830382,27671.5226,7.279137186,333.0735457,376.9038205,17.34650421,85.29292465,3.112317482,0
5.767349597,272.4721781,15417.93283,7.728859875,315.4049171,424.461152,15.28426758,60.8221347,3.896090487,1
8.575673022,197.5602828,15888.62521,4.865462912,311.557381,464.7255668,18.73692675,40.22452083,3.506229064,0
5.525768545,188.1559799,16113.01055,8.306926277,333.0735457,363.4718511,12.09451301,74.71867577,4.401412624,0
6.234197672,227.5608668,22195.21038,9.455598356,333.0735457,351.1801006,13.039764,63.16396948,3.885492316,0
7.833495881,220.9574326,28338.98146,9.370848444,316.2744033,462.1424242,15.33300458,57.03352177,5.580829963,0
7.064789081,188.3917252,20567.14593,7.443243199,360.3229762,656.9241278,16.27483066,84.8271826,4.401627835,1
8.892998479,224.078183,22960.18064,8.982036449,274.6894585,466.2454797,9.693048967,59.57721177,3.619132805,1
5.05074838,191.7222061,18252.07599,8.11811515,284.2150724,373.7412285,18.04543229,91.85193802,3.930290663,0
